park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC,Avg_Annual_Visits_5Yr
Amistad National Recreation Area,AMIS,Rough Canyon/Potable Water System,NA,Transient Non-Community Water System (TNC),TX2330033,deep groundwater,-100.97581,29.57868,"c(-100.97581, 29.57868)",ROUGH CANYON,TNCWS,40,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,881766
Amistad National Recreation Area,AMIS,GL/Potable Water System,NA,Transient Non-Community Water System (TNC),TX2330043,deep groundwater,-101.02867,29.4797,"c(-101.02867, 29.4797)",GOVERNORS LANDING,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,881766
Amistad National Recreation Area,AMIS,Pecos/Potable Water System,NA,Transient Non-Community Water System (TNC),TX2330048,deep groundwater,-101.36451,29.70193,"c(-101.36451, 29.70193)",NATIONAL PARK SERVICE PECOS RIVER,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,881766
Amistad National Recreation Area,AMIS,GSA Lease (HQ/VC) Water System,NA,Non-Transient Non-Community Water System (NTNC),TX2330074,deep groundwater,-101.000834,29.4675,"c(-101.000834, 29.4675)",CANO FAMCO WATER SUPPLY,NTNCWS,121,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,881766
Andersonville National Historic Site,ANDE,Providence Spring,NA,Non-Potable (NonPOT),NA,spring,-84.13024,32.19436,"c(-84.13024, 32.19436)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,63541.6
Antietam National Battlefield,ANTI,FULK HOUSE,NA,Non-Public Water System (NP),NA,unknown groundwater,-77.710994,39.47431,"c(-77.710994, 39.47431)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Antietam National Battlefield,ANTI,NEWCOMER HOUSE,NA,Non-Potable (NonPOT),NA,unknown groundwater,-77.727274,39.46472,"c(-77.727274, 39.46472)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Antietam National Battlefield,ANTI,PRY HOUSE,NA,Non-Potable (NonPOT),NA,unknown groundwater,-77.714022,39.476013,"c(-77.714022, 39.476013)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Antietam National Battlefield,ANTI,Shull House,NA,Non-Public Water System (NP),NA,unknown groundwater,-77.75284,39.48861,"c(-77.75284, 39.48861)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Antietam National Battlefield,ANTI,SMITH HOUSE,NA,Non-Public Water System (NP),NA,unknown groundwater,-77.746153,39.472674,"c(-77.746153, 39.472674)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Antietam National Battlefield,ANTI,Wyand House,NA,Non-Public Water System (NP),NA,unknown groundwater,-77.711068,39.474369,"c(-77.711068, 39.474369)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,147613.8
Appomattox Court House National Historical Park,APCO,Matthew House,NA,Non-Potable (NonPOT),NA,unknown groundwater,-78.79972,37.381041,"c(-78.79972, 37.381041)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,85872.2
Appomattox Court House National Historical Park,APCO,Moon House,NA,Non-Public Water System (NP),NA,unknown groundwater,-78.80156,37.380952,"c(-78.80156, 37.380952)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,85872.2
Apostle Islands National Lakeshore,APIS,OA - Well and Water System,NA,Transient Non-Community Water System (TNC),WI8020139,shallow groundwater,-90.75296,46.92966,"c(-90.75296, 46.92966)",U S N P APOSTLE IS OAK ISLAND OAW01,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,MA - Well and Water System,NA,Transient Non-Community Water System (TNC),WI8020611,shallow groundwater,-90.67688,46.95548,"c(-90.67688, 46.95548)","APOSTLE ISLANDS N.L., MANITOO IS. (MAW01)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,BA - Well and Water System,Basswood Island (Shut Down),Transient Non-Community Water System (TNC),WI8020608,unknown groundwater,-90.763137,46.831905,"c(-90.763137, 46.831905)","APOSTLE ISLANDS N.L., BASSWOOD IS. (BAW01)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,Meyers Beach - Fountain,NA,Non-Public Water System (NP),NA,deep groundwater,-91.04719,46.8828,"c(-91.04719, 46.8828)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,261558.4
