park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Tuskegee Institute National Historic Site,TUIN,Tuskegee Water System,NA,Community Water System (CWS),AL0000870,municipal,-85.694187,32.421971,"c(-85.694187, 32.421971)","TUSKEGEE, UTILITIES BOARD OF THE CITY OF",CWS,12900,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000"
Tumacacori National Historical Park,TUMA,Mission/Visitor Center (North) Side Water System,NA,Transient Non-Community Water System (TNC),AZ0412701,shallow groundwater,-111.047068,31.57028,"c(-111.047068, 31.57028)",TUMACACORI NATIONAL HISTORIC PARK,TNCWS,170,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Tumacacori National Historical Park,TUMA,Maintenance/Administrative (South) Side Water System,NA,Non-Public Water System (NP),NA,shallow groundwater,-111.049196,31.568447,"c(-111.049196, 31.568447)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Tuzigoot National Monument,TUZI,Tuzigoot Parkwide Water System,NA,Transient Non-Community Water System (TNC),AZ0413703,deep groundwater,-112.026138,34.769685,"c(-112.026138, 34.769685)",TUZIGOOT NATIONAL MONUMENT,TNCWS,300,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500
Ulysses S.  Grant National Historic Site,ULSG,Main House Cistern HS-07,NA,Non-Potable (NonPOT),NA,unknown groundwater,-90.35155,38.55208,"c(-90.35155, 38.55208)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Ulysses S.  Grant National Historic Site,ULSG,Site Water System,NA,Community Water System (CWS),MO6010716,municipal,-90.35176,38.55114,"c(-90.35176, 38.55114)",MO AMERICAN ST LOUIS ST CHARLES COUNTIES,CWS,1111000,2,3,4,5,11,"10,000+",">50,000",100K+,">100,000",">1,000,000"
Upper Delaware Scenic and Recreation River,UPDE,Cowen House (Ranger Station),NA,Non-Public Water System (NP),NA,unknown groundwater,-74.894015,41.458842,"c(-74.894015, 41.458842)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Upper Delaware Scenic and Recreation River,UPDE,Headquarters,NA,Non-Public Water System (NP),NA,unknown groundwater,-75.05132,41.619258,"c(-75.05132, 41.619258)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Upper Delaware Scenic and Recreation River,UPDE,Margold House and Maintenance,NA,Non-Public Water System (NP),NA,unknown groundwater,-74.98549,41.47963,"c(-74.98549, 41.47963)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Upper Delaware Scenic and Recreation River,UPDE,Milanville House,NA,Non-Public Water System (NP),NA,unknown groundwater,-75.064318,41.672845,"c(-75.064318, 41.672845)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Upper Delaware Scenic and Recreation River,UPDE,Zane Grey House,NA,Non-Public Water System (NP),NA,deep groundwater,-74.9875,41.48556,"c(-74.9875, 41.48556)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Valley Forge National Historical Park,VAFO,Lafayette's Quarters Water System,NA,Non-Public Water System (NP),NA,unknown groundwater,-75.45748,40.08063,"c(-75.45748, 40.08063)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Valley Forge National Historical Park,VAFO,Walnut Hill Water System,NA,Non-Public Water System (NP),NA,unknown groundwater,-75.45808,40.11023,"c(-75.45808, 40.11023)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Valley Forge National Historical Park,VAFO,Betzwood Water System,NA,Transient Non-Community Water System (TNC),PA1460823,unknown groundwater,-75.42123,40.1109,"c(-75.42123, 40.1109)",VALLEY FORGE NATL PARK,TNCWS,2300,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Valley Forge National Historical Park,VAFO,Administrative Offices/Visitor Center Water System,NA,Transient Non-Community Water System (TNC),PA1460073,municipal,-75.422433,40.101402,"c(-75.422433, 40.101402)",AQUA PA MAIN SYSTEM,CWS,822600,2,3,4,5,10,"10,000+",">50,000",100K+,">100,000","500,001-1,000,000"
Valles Caldera National Preserve,VALL,Water System,NA,Non-Public Water System (NP),NA,river/stream,-106.52274,35.86516,"c(-106.52274, 35.86516)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
